"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 20 10:37:49 TRT 2024","Wed Nov 20 10:38:20 TRT 2024","31237","","PageObjectPattern6.spec.js","","","","Page Object Pattern 6",""
"passed","Wed Nov 20 10:33:08 TRT 2024","Wed Nov 20 10:33:17 TRT 2024","8886","","uploadDownloadExcel.spec.js","","","","@Excel Upload Download Excel validation",""
